date,num tweets,num vacc tweets
2021-01-01,171848,26004
2021-01-05,263170,43664
2021-01-09,141977,25162
2021-01-13,215537,39993
2021-01-17,145807,27673
2021-01-21,234374,46094
2021-01-25,206736,40081
2021-01-29,207859,47390
2021-02-02,199510,41313
2021-02-06,119074,24681
2021-02-10,176143,34037
2021-02-14,109087,20237
2021-02-18,153800,35337
2021-02-22,157654,29055
2021-02-26,157435,38111
2021-03-02,206752,50183
2021-03-06,132565,29108
2021-03-10,170197,39009
2021-03-14,105555,23055
2021-03-18,160081,38855
2021-03-22,167848,41204
2021-03-26,152031,35188
2021-03-30,178891,41079
2021-04-03,110400,25063
2021-04-07,181669,44992
2021-04-11,117836,28385
2021-04-15,174272,39916
2021-04-19,184966,40040
2021-04-23,193888,42192
2021-04-27,218458,44913
2021-05-01,139731,26266
2021-05-05,189318,41730
2021-05-09,115767,20549
